iter	RMSE
0	0.5442545746
1	0.5415781096
2	0.5389828879
3	0.5367536121
4	0.5349014809
5	0.5334044526
6	0.5320658923
7	0.5309071265
8	0.5299009423
9	0.5288083694
10	0.528226459
11	0.5275169915
12	0.5268548824
13	0.5263896202
14	0.5258701067
15	0.5254503193
16	0.5248736761
17	0.5243207731
18	0.5237662052
19	0.5232732016
20	0.5229805949
21	0.5227238345
22	0.5224698969
23	0.5221529245
24	0.5219032241
25	0.5215093154
26	0.5212904024
27	0.521107269
28	0.5208927955
29	0.5206501025
30	0.5205366364
31	0.5203787463
32	0.5202407432
33	0.5199985926
34	0.5198226217
35	0.5197090563
36	0.5192326899
37	0.5191207219
38	0.5190033503
39	0.5188615892
40	0.5187141352
41	0.5186253937
42	0.5185154886
43	0.5184065169
44	0.5182596801
45	0.5181669694
46	0.5177563807
47	0.5174550811
48	0.5173708915
49	0.5172479842
50	0.5171184413
51	0.5169066539
52	0.5167828012
53	0.5167083816
54	0.5165520576
55	0.516145591
56	0.5160210824
57	0.5159180093
58	0.5155967851
59	0.5155246861
60	0.5154435483
61	0.5153338412
62	0.5151941257
63	0.5151251017
64	0.5149526116
65	0.5148891579
66	0.5148157934
67	0.5147508971
68	0.5146646462
69	0.5144018986
70	0.5143331608
71	0.5142635448
72	0.5142206911
73	0.5141192989
74	0.5140626959
75	0.5139951488
76	0.5139253241
77	0.5138639427
78	0.513790454
79	0.5137294847
80	0.5134746571
81	0.5133661186
82	0.5132878199
83	0.5130514542
84	0.51298028
85	0.512917035
86	0.5128507269
87	0.5128166894
88	0.5127346896
89	0.5126628099
90	0.5126068197
91	0.5125402464
92	0.512488452
93	0.5124019462
94	0.5123408727
95	0.512311955
96	0.5122603976
97	0.5122023103
98	0.5121752132
99	0.5121212253
100	0.512069869
101	0.5118257021
102	0.5117708942
103	0.5115572311
104	0.5113741888
105	0.5113193766
106	0.5112567264
107	0.5111879204
108	0.5111454642
109	0.5111132272
110	0.5109125027
111	0.5107857101
112	0.5107279177
113	0.5106699349
114	0.5105288085
115	0.5103633921
116	0.5102947359
117	0.5101271014
118	0.5100549083
119	0.5099711146
120	0.5099236529
121	0.5098811553
122	0.5098309058
123	0.5097754145
124	0.5096237099
125	0.5095259633
126	0.5094731867
127	0.5094299494
128	0.5093079153
129	0.509249553
130	0.5091899866
131	0.5091436432
132	0.5090915066
133	0.5090702958
134	0.5090278209
135	0.5089506895
136	0.508839509
137	0.5087802417
138	0.508720041
139	0.5086672769
140	0.5086142173
141	0.5085590062
142	0.5085267989
143	0.5084799948
144	0.5084231635
145	0.5083340987
146	0.5082800766
147	0.5081999558
148	0.508123389
149	0.5080678006
150	0.5079446997
151	0.5078862302
152	0.5078390938
153	0.5077781121
154	0.507737921
155	0.5076746309
156	0.5075658768
157	0.5075300325
158	0.507431583
159	0.5073729584
160	0.5071776379
161	0.507125619
162	0.5070937833
163	0.5070498368
164	0.507008316
165	0.5069648975
166	0.5069279585
167	0.5068936182
168	0.5068519643
169	0.5067803709
170	0.5067144632
171	0.5066625574
172	0.506620555
173	0.5065784938
174	0.5065260733
175	0.5063083844
176	0.5061557843
177	0.5061049493
178	0.5060449376
179	0.5059711093
180	0.5058953704
181	0.5058651501
182	0.505753307
183	0.5056736371
184	0.5055080534
185	0.5053360243
186	0.5052984499
187	0.5052544453
188	0.5051207043
189	0.5050535521
190	0.5050174952
191	0.504931166
192	0.5048113074
193	0.5047097546
194	0.5046799472
195	0.5046112393
196	0.5045752315
197	0.504542487
198	0.5044155822
199	0.5043597504
200	0.5042987916
201	0.504243507
202	0.5041598603
203	0.5041198387
204	0.5040500339
205	0.5038881787
206	0.5038408791
207	0.5037392759
208	0.503689707
209	0.5036451979
210	0.5035933325
211	0.5035434892
212	0.5034229345
213	0.5033752559
214	0.5033296734
215	0.5032916648
216	0.5032310268
217	0.5031133078
218	0.5030835056
219	0.5030105825
220	0.5029623588
221	0.5029147861
